date,rb,hc
2020-10-27,3625,3853
2020-10-28,3685,3842
2020-10-29,3705,3821
2020-10-30,3820,3832
2020-11-02,3770,3929
2020-11-03,3790,3910
2020-11-04,3756,3907
2020-11-05,3712,3907
2020-11-06,3810,3907
2020-11-09,3744,3907
2020-11-10,3744,3907
2020-11-11,3968,3907
2020-11-12,3968,3907
2020-11-13,3968,4080
2020-11-16,3968,4080
2020-11-17,4100,4013
2020-11-18,4094,4120
2020-11-19,4100,4120
2020-11-20,4125,4120
2020-11-23,4056,4120
2020-11-24,4081,4120
2020-11-25,4071,4129
2020-11-26,4040,4135
2020-11-27,4014,4170
2020-11-30,4258,4170
2020-12-01,4258,4170
2020-12-02,4258,4170
2020-12-03,4258,4170
2020-12-04,4258,4170
2020-12-07,4258,4170
2020-12-08,4258,4170
2020-12-09,4258,4170
2020-12-10,4400,4170
2020-12-11,4400,4170
2020-12-14,4400,4170
2020-12-15,4400,4170
2020-12-16,4230,4501
2020-12-17,4263,4550
2020-12-18,4376,4689
2020-12-21,4544,4841
2020-12-22,4442,4844
2020-12-23,4318,4758
2020-12-24,4244,4715
2020-12-25,4258,4731
2020-12-28,4188,4547
2020-12-29,4158,4519
2020-12-30,4193,4521
2020-12-31,4213,4604
2021-01-04,4234,4560
2021-01-05,4233,4560
2021-01-06,4232,4570
2021-01-07,4240,4687
2021-01-08,4289,4688
2021-01-11,4220,4542
2021-01-12,4192,4497
2021-01-13,4175,4486
2021-01-14,4165,4493
2021-01-15,4192,4530
2021-01-18,4255,4560
2021-01-19,4170,4451
2021-01-20,4180,4480
2021-01-21,4229,4495
2021-01-22,4177,4390
2021-01-25,4166,4480
2021-01-26,4190,4480
2021-01-27,4268,4562
2021-01-28,4177,4480
2021-01-29,4160,4420
2021-02-01,4140,4442
2021-02-02,4060,4410
2021-02-03,4076,4410
2021-02-04,4125,4439
2021-02-05,4160,4517
2021-02-08,4245,4612
2021-02-09,4320,4663
2021-02-10,4311,4645
2021-02-18,4410,4758
2021-02-19,4406,4731
2021-02-22,4500,4860
2021-02-23,4469,4828
2021-02-24,4540,4840
2021-02-25,4618,4923
2021-02-26,4686,4935
2021-03-01,4542,4925
2021-03-02,4590,4900
2021-03-03,4748,5045
2021-03-04,4748,5010
2021-03-05,4580,4880
2021-03-08,4650,4960
2021-03-09,4581,4816
2021-03-10,4452,4840
2021-03-11,4548,4899
2021-03-12,4550,5035
2021-03-15,4559,5040
2021-03-16,4660,4949
2021-03-17,4730,4974
2021-03-18,4710,5018
2021-03-19,4692,5062
2021-03-22,4700,5090
2021-03-23,4655,5116
2021-03-24,4738,5120
2021-03-25,4719,5120
2021-03-26,4799,5160
2021-03-29,4786,5300
2021-03-30,4830,5390
2021-03-31,4815,5500
2021-04-01,4890,5420
2021-04-02,4960,5501
2021-04-06,5000,5550
2021-04-07,5000,5495
2021-04-08,5000,5505
2021-04-09,5000,5460
2021-04-12,4920,5388
2021-04-13,5000,5376
2021-04-14,5050,5400
2021-04-15,5020,5455
2021-04-16,5134,5483
2021-04-19,5101,5449
2021-04-20,5168,5494
2021-04-21,5183,5532
2021-04-22,5195,5573
2021-04-23,5250,5603
2021-04-26,5354,5766
2021-04-27,5391,5795
2021-04-28,5331,5746
2021-04-29,5394,5805
2021-04-30,5352,5758
2021-05-06,5483,5968
2021-05-07,5538,6002
2021-05-10,5885,6341
2021-05-11,5886,6560
2021-05-12,6035,6680
2021-05-13,5800,6496
2021-05-14,5581,6188
2021-05-17,5580,6000
2021-05-18,5499,6028
2021-05-19,5213,5729
2021-05-20,5101,5628
2021-05-21,5080,5581
2021-05-24,4879,5450
2021-05-25,4860,5458
2021-05-26,4666,5235
2021-05-27,4680,5290
2021-05-28,4738,5544
2021-05-31,5080,5610
2021-06-01,4833,5600
2021-06-02,4830,5482
2021-06-03,4850,5600
2021-06-04,4860,5560
2021-06-07,4830,5380
2021-06-08,4895,5370
2021-06-09,4898,5420
2021-06-10,4898,5575
2021-06-11,4900,5650
2021-06-15,4870,5566
2021-06-16,4911,5392
2021-06-17,4983,5490
2021-06-18,4940,5464
2021-06-21,4832,5329
2021-06-22,4785,5294
2021-06-23,4837,5305
2021-06-24,4831,5330
2021-06-25,4910,5442
2021-06-28,4910,5488
2021-06-29,4894,5470
2021-06-30,4940,5520
2021-07-01,4950,5550
2021-07-02,4921,5546
2021-07-05,4955,5541
2021-07-06,4992,5600
2021-07-07,4990,5749
2021-07-08,4940,5724
2021-07-09,4890,5800
2021-07-12,4946,5785
